edited_name,PrimaryTrentepohliales
Hypogymnia_duplicata,0
Hypogymnia_enteromorpha,0
Hypogymnia_farinacea,0
Hypogymnia_flavida,0
Hypogymnia_fujisanensis,0
Hypogymnia_gracilis,0
Hypogymnia_hypotrypa,0
Hypogymnia_imshaugii,0
Hypogymnia_inactiva,0
Hypogymnia_incurvoides,0
Hypogymnia_krogiae,0
Hypogymnia_lugubris,0
Hypogymnia_macrospora,0
Hypogymnia_metaphysodes,0
Hypogymnia_minilobata,0
Hypogymnia_mollis,0
Hypogymnia_occidentalis,0
Hypogymnia_physodes,0
Hypogymnia_pruinosa,0
Hypogymnia_pulverata,0
Hypogymnia_subduplicata,0
Hypogymnia_subphysodes,0
Hypogymnia_tubulosa,0
Hypogymnia_vittata,0
Imshaugia_aleurites,0
Letharia_columbiana,0
Letharia_vulpina,0
Lethariella_canariensis,0
Lethariella_cashmeriana,0
Lethariella_sernanderi,0
Lethariella_togashii,0
Menegazzia_confusa,0
Menegazzia_myriotrema,0
Menegazzia_subsimilis,0
Menegazzia_terebrata,0
Nodobryoria_abbreviata,0
Nodobryoria_oregana,0
Omphalodium_pisacomense,0
Omphalora_arizonica,0
Oropogon_americanus,0
Oropogon_atranorinus,0
Oropogon_bicolor,0
Oropogon_caespitosus,0
Oropogon_colibor,0
Oropogon_granulosus,0
Oropogon_lopezii,0
Oropogon_lorobic,0
Oropogon_loxensis,0
Oropogon_mexicanus,0
Oropogon_sperlingii,0
Pannoparmelia_angustata,0
Almbornia_azaniensis,0
Almbornia_cafferensis,0
Austroparmelina_conlabrosa,0
Austroparmelina_endoleuca,0
Austroparmelina_labrosa,0
Austroparmelina_macrospora,0
Austroparmelina_pruinata,0
Austroparmelina_pseudorelicina,0
Bulbothrix_apophysata,0
Bulbothrix_coronata,0
Bulbothrix_decurtata,0
Bulbothrix_goebelii,0
Bulbothrix_hypocraea,0
Bulbothrix_isidiza,0
Bulbothrix_laevigatula,0
Bulbothrix_meizospora,0
Bulbothrix_sensibilis,0
Bulbothrix_setschwanensis,0
Bulbothrix_suffixa,0
Bulbothrix_tabacina,0
Canoparmelia_carneopruinata,0
Canoparmelia_caroliniana,0
Canoparmelia_concrescens,0
Canoparmelia_crozalsiana,0
Canoparmelia_ecaperata,0
Canoparmelia_inhaminensis,0
Canoparmelia_nairobiensis,0
Canoparmelia_schelpei,0
Canoparmelia_texana,0
Cetrariastrum_andense,0
Cetrariastrum_dubitans,0
Cetrariastrum_ecuadoriense,0
Cetrelia_braunsiana,0
Cetrelia_cetrarioides,0
Cetrelia_chicitae,0
Cetrelia_japonica,0
Cetrelia_olivetorum,0
Cetrelia_pseudolivetorum,0
Emodomelanelia_masonii,0
Everniastrum_americanum,0
Everniastrum_catawbiense,0
Everniastrum_cirrhatum,0
Everniastrum_lipidiferum,0
Everniastrum_nepalense,0
Everniastrum_rhizodendroideum,0
Everniastrum_sorocheilum,0
Everniastrum_vexans,0
Flavoparmelia_baltimorensis,0
Flavoparmelia_caperata,0
Flavoparmelia_citrinescens,0
Flavoparmelia_euplecta,0
Flavoparmelia_ferax,0
Flavoparmelia_haysomii,0
Flavoparmelia_haywardiana,0
Flavoparmelia_marchantii,0
Flavoparmelia_papillosa,0
Flavoparmelia_rutidota,0
Flavoparmelia_secalonica,0
Flavoparmelia_soredians,0
Flavoparmelia_springtonensis,0
Flavoparmelia_subambigua,0
Flavopunctelia_borrerioides,0
Flavopunctelia_flaventior,0
Flavopunctelia_soredica,0
Hypotrachyna_adducta,0
Hypotrachyna_afrorevoluta,0
Hypotrachyna_booralensis,0
Hypotrachyna_brasiliana,0
Hypotrachyna_britannica,0
Hypotrachyna_caraccensis,0
Hypotrachyna_ciliata,0
Hypotrachyna_dactylifera,0
Hypotrachyna_degelii,0
Hypotrachyna_endochlora,0
Hypotrachyna_exsecta,0
Hypotrachyna_fissicarpa,0
Hypotrachyna_flexilis,0
Hypotrachyna_imbricatula,0
Hypotrachyna_immaculata,0
Hypotrachyna_koyaensis,0
Hypotrachyna_laevigata,0
Hypotrachyna_leiophylla,0
Hypotrachyna_livida,0
Hypotrachyna_neodissecta,0
Hypotrachyna_osseoalba,0
Hypotrachyna_physcioides,0
Hypotrachyna_polydactyla,0
Hypotrachyna_pseudosinuosa,0
Hypotrachyna_radiculata,0
Hypotrachyna_reducens,0
Hypotrachyna_revoluta,0
Hypotrachyna_rockii,0
Hypotrachyna_showmanii,0
Hypotrachyna_sinuosa,0
Hypotrachyna_taylorensis,0
Karoowia_adhaerens,0
Karoowia_perspersa,0
Karoowia_ralla,0
Karoowia_scitula,0
Melanelixia_albertana,0
Melanelixia_californica,0
Melanelixia_calva,0
Melanelixia_fuliginosa,0
Melanelixia_glabra,0
Melanelixia_glabratuloides,0
Melanelixia_glabroides,0
Melanelixia_piliferella,0
Melanelixia_subargentifera,0
Melanelixia_subaurifera,0
Melanelixia_subglabra,0
Melanelixia_villosella,0
Melanohalea_elegantula,0
Melanohalea_exasperata,0
Melanohalea_exasperatula,0
Melanohalea_gomukhensis,0
Melanohalea_halei,0
Melanohalea_infumata,0
Melanohalea_laciniatula,0
Melanohalea_lobulata,0
Melanohalea_multispora,0
Melanohalea_olivacea,0
Melanohalea_poeltii,0
Melanohalea_septentrionalis,0
Melanohalea_subelegantula,0
